Gl-Drei-Haus03;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeGrau
Gl-Drei-Haus04;Einfamilienhaus,Garten,MitGarage,DachSchwarz,FassadeGrau
Gl-Drei-Haus06;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeGrau
Gl-Drei-Haus08;Einfamilienhaus,DachRot,FassadeGrau
Gl-Drei-Haus09;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeWeiss,MitBalkon
Gl-Drei-Haus2;Einfamilienhaus,Garten,FassadeGrau,DachGrau,MitBalkon
Gl-Drei-Haus21;Einfamilienhaus,MitGarage,FassadeGelb,DachBraun
Gl-Drei-Haus22;Zweifamilienhaus,Doppelhaus,DachRot,FassadeGrau
Gl-Drei-Haus23;Einfamilienhaus,DachRot,FassadeGrau
Gl-Drei-Haus24;Einfamilienhaus,Doppelhaus,MitGarage,DachRot,DachBraun,FassadeGrau
Gl-Drei-Haus41;Zweifamilienhaus,Garten,DachBraun,FassadeGrau
Gl-Drei-Haus42;Zweifamilienhaus,MitBalkon,Garten,DachGrau,FassadeGrau
Gl-Drei-Haus43;Einfamilienhaus,DachRot,FassadeZiegel
Gl-Drei-Haus61;Doppelhaus,FassadeGelb,DachBraun,DachRot,Gewerbe
Gl-Drei-Haus62;Einfamilienhaus,Doppelhaus,Garten,DachBraun,FassadeGrau
Gl-Drei-Haus63;Einfamilienhaus,MitGarage,DachBraun,FassadeBeige
Gl-Drei-Haus64;Einfamilienhaus,DachSchwarz,FassadeGrau
Gueterschuppen;Güterschuppen
HausBollerborn;Hochhaus,Stadthaus,MitGarage
HausBollerborn02;Einfamilienhaus,MitGarage,DachRot,FassadeBeige
HausBollerborn03;Einfamilienhaus,MitGarage,DachRot,FassadeBeige
HausBollerborn04;Einfamilienhaus,FassadeWeiss,DachRot
HausBollerborn05;Einfamilienhaus,MitGarage,DachRot,FassadeBeige,Walmdach
HausBollerborn06;Einfamilienhaus,DachRot,FassadeWeiss,MitGarage
Haus 102;Einfamilienhaus,DachGrau,Garten,FassadeGrau
Haus 103 Muehle;Zweifamilienhaus,DachSchwarz,FassadeGelb,Garten
Haus 104;Einfamilienhaus,FassadeVerziert,DachGrau,FassadeWeiss
Haus 105 amHotel;Einfamilienhaus,DachSchwarz,MitGarage,FassadeGelb
Haus 106 Muehle;Einfamilienhaus,Bungalow,Garten,FassadeWeiss,DachGrau,Walmdach
Haus 107 Muehle;Einfamilienhaus,Garten,FassadeWeiss,DachGrau
Haus neben EG;FassadeZiegel,FassadeBeige,DachGrau,Büro
Hotel 108 amEG;Hotel,FassadeZiegel,DachRot,Fachwerk,FassadeVerziert
Kirche 108;Kirche
Personalraeume;FassadeZiegel,Gewerbe,DachSchwarz,Betriebswerk
R-Lok-Schu;Lokschuppen
RehbergtunnelWest;Tunnel
Schalthaus Gleis21;Schalthaus,Bahnbude,Industrie
Stellwerk Af;Stellwerk
durchlass2;Durchlass
durchlass3;Durchlass
durchlass4;Durchlass
durchlass5;Durchlass
durchlass6;Durchlass
durchlass7;Durchlass
durchlass8;Durchlass
durchlass9;Durchlass
durchlass bwzufahrt a;Durchlass
durchlass bwzufahrt b;Durchlass
gleis1;Schild,Gleis1,Bahnsteig
gleis2;Schild,Bahnsteig,Gleis2
gleis21;Schild,Bahnsteig,Gleis21
gleis22;Schild,Bahnsteig,Gleis22
gleis23;Schild,Bahnsteig,Gleis23
gleis31;Schild,Bahnsteig,Gleis31
gleis32;Schild,Bahnsteig,Gleis32
gleis33;Schild,Bahnsteig,Gleis33
gleis34;Schild,Bahnsteig,Gleis34
prellb31;Schild,Gleis31
prellb32;Schild,Gleis32
prellb33;Schild,Gleis33
prellb34;Schild,Gleis34
rangiererbude af;Bahnbude,Schuppen,Industrie
schild gaststaette;Schild,Gaststätte
viadukt;Viadukt
B Hof km 115 936;Bauernhof,FassadeZiegel,DachSchwarz
Benhausen 01;Kirche
Fussballplatz;Sport,Fußball
Haus km 122 220;Mehrfamilienhaus,Büro,FassadeGrau,DachGrau
Kulissen Haus 1;Kulisse,Einfamilienhaus,DachRot,FassadeWeiss
Kulissen Haus 11;Kulisse,Einfamilienhaus,DachBraun,FassadeBeige
Kulissen Haus 12;Kulisse,Einfamilienhaus,DachBraun,FassadeBeige
Kulissen Haus 13;Kulisse,Einfamilienhaus,DachBraun,FassadeGrau
Kulissen Haus 14;Kulisse,Einfamilienhaus,DachBraun,FassadeRot
Kulissen Haus 2;Kulisse,Einfamilienhaus,DachRot,FassadeGrau
Kulissen Haus 3;Kulisse,Einfamilienhaus,DachRot,FassadeGrau
Kulissen Haus 4;Kulisse,DachRot,FassadeZiegel,Einfamilienhaus
01 01 Guterabfert a;Gewerbe,Büro,FassadeZiegel,DachRot,Industrie,DachBraun
01 01a LSchuppen;Industrie,Spedition
01 02 NG Gueter;Industrie,Spedition,Büro
01 03 Wh G Haus;Stadthaus,Reihenhaus,Gewerbe,DachRot,DachSchwarz,FassadeGrau
01 04 rosa Gebaeude;Büro,Bahnmeisterei,FassadeZiegel,Industrie
01 05 Stw Pf;Stellwerk
01 06 Benteler;Büro,Industrie
01 07 WHaus;DachRot,MitGarage,Zweifamilienhaus
01 08 Europcar;Industrie,MitParkplatz
01 09 Antik;Industrie
01 10 WHaus;Mehrfamilienhaus,Stadthaus,FassadeRot,DachBraun
02 01 Mat Lager;Industrie,Lagerplatz
02 02 WaAufbereit;Industrie,Kran
02 03 Back Fabrik;Industrie,FassadeZiegel
02 04 Tanklager;Industrie,Tanklager
02 05 F Hallen;Industrie,FassadeZiegel
02 06 Prod Halle;Industrie
02 07 Benteler NG 1;Industrie,Büro,FassadeZiegel
02 08 Benteler NG 2;Industrie,Werkstatt
02 08 Benteler NG 2b;Industrie,Werkstatt
03 01 HBF EG;Empfangsgebäude
03 03 Bstg 2 3 Dach 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 2 3 Nieder;Bahnsteig
03 03 Bstg 2 3 Stuetze 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 2 3 Stuetze 2;Bahnsteig,Bahnsteigdach
03 03 Bstg 2 3 Teil 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 2 3 Teil 2;Bahnsteig,Bahnsteigdach
03 03 Bstg 4 5 Dach 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 4 5 Stuetze 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 4 5 Teil 1;Bahnsteig,Bahnsteigdach
03 03 Bstg 4 5 Teil 2;Bahnsteig,Bahnsteigdach
03 05 Geraetehaus;Trafostation,FassadeWaschbeton
03 06 Unterstand;Bahnsteig,Bushaltestelle
03 07 Funksender;Amateurfunk
03 08 Gebaeude Kruse;Industrie,Büro
03 09 Geschaeftshaus;Büro,Mehrfamilienhaus,FassadeWeiss,DachRot
03 10 Finanzamt;Büro,Hochhaus
03 11 Kreisverwaltung;Büro,Hochhaus
03 12 Arbeitsamt;Büro,Hochhaus,Arbeitsagentur
03 13 GHaus;Büro,Stadthaus
03 14 Medien;Büro,Stadthaus,Mehrfamilienhaus
03 16 Trafohaus;Aufzug
03 17 WHaus;Mehrfamilienhaus,FassadeZiegel,DachBraun,MitParkplatz
03 18 AutoKleine;Industrie,Autohaus
03 20 WHaus;Mehrfamilienhaus,Stadthaus,DachBraun,FassadeBeige
04 02 Kirche;Kirche
04 03 DBank;Gewerbe,Büro,Stadthaus
04 04 WHaus;Gewerbe,Mehrfamilienhaus,Stadthaus,FassadeBeige
04 05 WHaus;Gewerbe,Reihenhaus,Eckhaus,Mehrfamilienhaus,FassadeBeige,DachBraun
04 08 GHaus;Gewerbe,Stadthaus,Mehrfamilienhaus,FassadeBeige,DachRot
04 09 WHaus;Stadthaus,Mehrfamilienhaus
04 10 WHaus;Industrie,Gewerbe,Mehrfamilienhaus,Stadthaus
04 11 WHaus;Stadthaus,Mehrfamilienhaus
04 11a WHaus;Mehrfamilienhaus,FassadeGrau,Stadthaus,DachRot,MitGarage
04 12 Garage 1tlg;Garage
04 12 Garage 4tlg;Garage
04 13 WGHaus;Gewerbe,Mehrfamilienhaus,Stadthaus,DachBraun,FassadeBeige
04 13 WGHaus b;Stadthaus,Mehrfamilienhaus,Reihenhaus,Gewerbe,DachBraun,FassadeBeige
04 14 GHaus b;Gewerbe,MitParkplatz
04 14 WHaus;Stadthaus,Mehrfamilienhaus,DachRot,Walmdach
